FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
k,0.0009897283455609,6.007582484892615e-05,0,optuna,D4,AutoML
threshold,0.0659597274806962,0.0015041176205744,1,optuna,D4,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D4,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D4,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D4,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D4,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D4,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D4,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D4,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D4,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D4,AutoML
AverageValueLength,0.0,0.0,11,optuna,D4,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D4,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D4,AutoML
clustering_ConnectedComponentsClustering,0.2161959037286425,0.0023404366688025,14,optuna,D4,AutoML
clustering_KiralyMSMApproximateClustering,0.0104827082203607,0.0003427860273555,15,optuna,D4,AutoML
clustering_UniqueMappingClustering,-0.001574974904355,7.978175875973934e-05,16,optuna,D4,AutoML
lm_fasttext,-0.0018322186297053,7.771863693086526e-05,17,optuna,D4,AutoML
lm_sdistilroberta,8.862893948204941e-05,4.520339281619917e-06,18,optuna,D4,AutoML
lm_sent_glove,-8.894687206879581e-05,1.0187528459622844e-05,19,optuna,D4,AutoML
lm_sminilm,0.0422454266652536,0.0008483299069684,20,optuna,D4,AutoML
lm_smpnet,0.0364656934124731,0.000684704005217,21,optuna,D4,AutoML
lm_st5,0.0929044610908896,0.0012633344822195,22,optuna,D4,AutoML
lm_word2vec,-0.0003828373256279,5.811415541303227e-05,23,optuna,D4,AutoML
k,0.0006663349584223,1.9609909291966715e-05,0,all,D10,AutoML
threshold,-0.1690947956645525,0.002005302148953,1,all,D10,AutoML
InputEntityProfiles,0.0,0.0,2,all,D10,AutoML
NumberOfAttributes,0.0,0.0,3,all,D10,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D10,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D10,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D10,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D10,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D10,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D10,AutoML
AverageValueLength,0.0,0.0,11,all,D10,AutoML
AverageValueTokens,0.0,0.0,12,all,D10,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D10,AutoML
clustering_ConnectedComponentsClustering,0.5043583088429328,0.0043728170758128,14,all,D10,AutoML
