trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
812,D6,KiralyMSMApproximateClustering,st5,77,0.6500000000000001,gridsearch,42,36.864,66.2313,47.3649,3.771986246109009
813,D6,BestMatchClustering,st5,75,0.5,gridsearch,42,8.2241,38.6194,13.5604,2.8449461460113525
814,D6,ConnectedComponentsClustering,st5,96,0.7000000000000001,gridsearch,42,76.0331,17.1642,28.0061,4.150216341018677
815,D6,ConnectedComponentsClustering,sminilm,39,0.7500000000000001,gridsearch,42,79.5848,21.4552,33.7987,1.7674856185913086
816,D6,KiralyMSMApproximateClustering,sminilm,92,0.4,gridsearch,42,39.8683,73.4142,51.6743,4.512222051620483
817,D6,BestMatchClustering,st5,35,0.9000000000000001,gridsearch,42,65.0602,15.1119,24.5269,1.4497368335723877
818,D6,KiralyMSMApproximateClustering,st5,23,0.05,gridsearch,42,31.9365,67.5373,43.3663,2.2216315269470215
819,D6,UniqueMappingClustering,sminilm,43,0.15000000000000002,gridsearch,42,17.5982,79.0112,28.785,3.0307586193084717
820,D6,KiralyMSMApproximateClustering,st5,46,0.9000000000000001,gridsearch,42,65.0602,15.1119,24.5269,1.8000779151916504
821,D6,BestMatchClustering,st5,1,0.55,gridsearch,42,31.7934,70.6157,43.8459,1.0619683265686035
822,D6,KiralyMSMApproximateClustering,sminilm,10,0.05,gridsearch,42,32.7265,75.4664,45.6546,1.137702226638794
823,D6,UniqueMappingClustering,st5,25,0.5,gridsearch,42,17.0742,72.9478,27.6716,2.398261070251465
824,D6,KiralyMSMApproximateClustering,st5,6,0.9000000000000001,gridsearch,42,65.0602,15.1119,24.5269,0.9440281391143799
825,D6,UniqueMappingClustering,st5,74,0.35000000000000003,gridsearch,42,15.7267,72.5746,25.8515,5.3832714557647705
826,D6,KiralyMSMApproximateClustering,sminilm,96,0.55,gridsearch,42,50.0,67.8172,57.5614,2.320073366165161
827,D6,ConnectedComponentsClustering,st5,79,0.7500000000000001,gridsearch,42,71.3433,22.2948,33.973,3.5515458583831787
828,D6,UniqueMappingClustering,st5,54,0.55,gridsearch,42,16.0189,72.6679,26.2511,3.9509682655334473
829,D6,KiralyMSMApproximateClustering,st5,71,0.5,gridsearch,42,35.3586,66.2313,46.1039,5.174325942993164
830,D6,KiralyMSMApproximateClustering,st5,44,0.15000000000000002,gridsearch,42,34.1603,66.791,45.202,3.50974702835083
831,D6,KiralyMSMApproximateClustering,sminilm,58,0.1,gridsearch,42,37.4227,73.4142,49.5748,4.023024082183838
832,D6,KiralyMSMApproximateClustering,st5,72,0.45,gridsearch,42,35.4115,66.2313,46.1488,5.059778451919556
833,D6,ConnectedComponentsClustering,sminilm,68,0.3,gridsearch,42,0,0,0,2.5380256175994873
834,D6,KiralyMSMApproximateClustering,st5,73,0.7500000000000001,gridsearch,42,49.952,48.5075,49.2191,2.10730242729187
835,D6,BestMatchClustering,st5,9,0.7000000000000001,gridsearch,42,22.7605,46.4552,30.5521,1.370676040649414
836,D6,BestMatchClustering,sminilm,42,0.35000000000000003,gridsearch,42,10.4101,46.1754,16.9899,1.8697168827056885
837,D6,UniqueMappingClustering,sminilm,47,0.6000000000000001,gridsearch,42,49.3671,61.847,54.9068,1.301023244857788
838,D6,BestMatchClustering,sminilm,87,0.5,gridsearch,42,19.7209,50.0933,28.3004,2.4605331420898438
839,D6,UniqueMappingClustering,sminilm,10,0.25,gridsearch,42,21.2639,80.0373,33.6009,1.1496195793151855
840,D6,UniqueMappingClustering,sminilm,31,0.3,gridsearch,42,18.4382,79.291,29.919,2.5027172565460205
841,D6,KiralyMSMApproximateClustering,sminilm,83,0.35000000000000003,gridsearch,42,38.9604,73.4142,50.9056,4.684393405914307
842,D6,BestMatchClustering,sminilm,87,0.6500000000000001,gridsearch,42,49.4681,43.3769,46.2227,2.3518528938293457
843,D6,UniqueMappingClustering,sminilm,21,0.45,gridsearch,42,25.3402,78.1716,38.2736,1.3144755363464355
844,D6,ConnectedComponentsClustering,st5,34,0.7500000000000001,gridsearch,42,71.3433,22.2948,33.973,2.0998146533966064
845,D6,ConnectedComponentsClustering,sminilm,9,0.6000000000000001,gridsearch,42,76.652,32.4627,45.6094,0.8807647228240967
846,D6,ConnectedComponentsClustering,sminilm,92,0.2,gridsearch,42,0,0,0,3.529689311981201
847,D6,BestMatchClustering,sminilm,37,0.35000000000000003,gridsearch,42,10.456,45.9888,17.0382,1.8215525150299072
848,D6,KiralyMSMApproximateClustering,st5,84,0.7500000000000001,gridsearch,42,49.952,48.5075,49.2191,2.321371555328369
849,D6,KiralyMSMApproximateClustering,st5,80,0.35000000000000003,gridsearch,42,35.7323,66.2313,46.4204,5.621336460113525
850,D6,ConnectedComponentsClustering,st5,94,0.25,gridsearch,42,0,0,0,3.5651559829711914
851,D6,BestMatchClustering,sminilm,73,0.8500000000000001,gridsearch,42,63.2432,21.8284,32.4549,2.165102243423462
852,D6,UniqueMappingClustering,st5,47,0.15000000000000002,gridsearch,42,16.1597,72.8545,26.4522,3.7767512798309326
853,D6,UniqueMappingClustering,sminilm,91,0.8500000000000001,gridsearch,42,63.7838,22.0149,32.7323,1.881394386291504
854,D6,BestMatchClustering,st5,22,0.2,gridsearch,42,9.1182,39.7388,14.8329,1.7657246589660645
855,D6,UniqueMappingClustering,sminilm,10,0.05,gridsearch,42,21.2481,80.0373,33.5812,1.1701488494873047
856,D6,UniqueMappingClustering,sminilm,70,0.2,gridsearch,42,16.9921,78.7313,27.9516,4.890610456466675
857,D6,UniqueMappingClustering,sminilm,28,0.5,gridsearch,42,31.5068,75.0933,44.3893,1.2371351718902588
858,D6,ConnectedComponentsClustering,sminilm,56,0.6000000000000001,gridsearch,42,76.7184,32.2761,45.4366,2.2972090244293213
859,D6,KiralyMSMApproximateClustering,sminilm,37,0.35000000000000003,gridsearch,42,36.3594,73.6007,48.6737,2.7692606449127197
860,D6,BestMatchClustering,sminilm,76,0.8,gridsearch,42,63.2353,28.0784,38.8889,1.9202651977539062
861,D6,UniqueMappingClustering,st5,88,0.45,gridsearch,42,15.6037,72.5746,25.685,6.354142189025879
862,D6,UniqueMappingClustering,sminilm,43,0.3,gridsearch,42,17.8767,79.0112,29.1566,2.9035587310791016
863,D6,ConnectedComponentsClustering,sminilm,69,0.25,gridsearch,42,0,0,0,2.5811445713043213
864,D6,KiralyMSMApproximateClustering,st5,32,0.05,gridsearch,42,33.4567,67.444,44.7263,2.9511406421661377
865,D6,UniqueMappingClustering,sminilm,40,0.25,gridsearch,42,17.748,79.1045,28.9915,2.831287384033203
866,D6,UniqueMappingClustering,st5,82,0.8500000000000001,gridsearch,42,60.9504,27.5187,37.9177,1.9846322536468506
867,D6,BestMatchClustering,sminilm,27,0.9000000000000001,gridsearch,42,62.1302,9.7948,16.9218,1.3458118438720703
868,D6,ConnectedComponentsClustering,sminilm,96,0.05,gridsearch,42,0,0,0,3.4890639781951904
869,D6,KiralyMSMApproximateClustering,st5,46,0.25,gridsearch,42,34.2761,66.6978,45.2818,3.5343072414398193
870,D6,BestMatchClustering,st5,28,0.4,gridsearch,42,8.8494,39.459,14.4566,1.9170503616333008
871,D6,ConnectedComponentsClustering,sminilm,52,0.8,gridsearch,42,81.4126,20.4291,32.6622,2.190516471862793
872,D6,KiralyMSMApproximateClustering,sminilm,45,0.05,gridsearch,42,36.6341,73.5075,48.8985,3.2700002193450928
873,D6,KiralyMSMApproximateClustering,st5,97,0.4,gridsearch,42,35.9676,66.2313,46.6185,6.446392297744751
874,D6,UniqueMappingClustering,st5,53,0.3,gridsearch,42,16.0395,72.7612,26.2848,4.115612030029297
875,D6,UniqueMappingClustering,sminilm,98,0.6500000000000001,gridsearch,42,55.1502,47.9478,51.2974,1.9787547588348389
876,D6,ConnectedComponentsClustering,sminilm,9,0.5,gridsearch,42,76.4259,18.75,30.1124,1.1385197639465332
877,D6,UniqueMappingClustering,st5,73,0.35000000000000003,gridsearch,42,15.7362,72.5746,25.8644,5.138367176055908
878,D6,BestMatchClustering,sminilm,67,0.8,gridsearch,42,63.2353,28.0784,38.8889,2.013273239135742
879,D6,KiralyMSMApproximateClustering,st5,71,0.7500000000000001,gridsearch,42,49.952,48.5075,49.2191,2.0960135459899902
