sampler,dataset,max_trials,f1,f1_ratio
GPSampler,D10,85,55.4025,0.987267672897696
GPSampler,D10,90,55.4025,0.987267672897696
GPSampler,D10,95,55.409940000000006,0.98740025304275
GPSampler,D10,100,55.42052,0.9875887877113888
QMCSampler,D7,5,54.259640000000005,0.8055686452668446
QMCSampler,D7,10,65.07759999999999,0.9661780665927306
QMCSampler,D7,15,65.9571,0.9792356103492356
QMCSampler,D7,20,65.9571,0.9792356103492356
QMCSampler,D7,25,66.02476,0.9802401281554494
QMCSampler,D7,30,66.23339999999999,0.9833377130666
QMCSampler,D7,35,66.35531999999999,0.98514780486284
QMCSampler,D7,40,66.35531999999999,0.98514780486284
QMCSampler,D7,45,66.35928,0.9852065972144896
QMCSampler,D7,50,66.35928,0.9852065972144896
QMCSampler,D7,55,66.35928,0.9852065972144896
QMCSampler,D7,60,66.35928,0.9852065972144896
QMCSampler,D7,65,66.52798,0.9877112107809732
QMCSampler,D7,70,66.52798,0.9877112107809732
QMCSampler,D7,75,66.52798,0.9877112107809732
QMCSampler,D7,80,66.52798,0.9877112107809732
QMCSampler,D7,85,66.52798,0.9877112107809732
QMCSampler,D7,90,66.52798,0.9877112107809732
QMCSampler,D7,95,66.52798,0.9877112107809732
