FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
lm_sdistilroberta,-0.0009739011701316,ALL,D1,AutoML
lm_smpnet,-0.0046537413523734,ALL,D1,AutoML
clustering_KiralyMSMApproximateClustering,-0.006697269998906,ALL,D1,AutoML
lm_sminilm,-0.0090025788774913,ALL,D1,AutoML
clustering_UniqueMappingClustering,-0.0140137304671845,ALL,D1,AutoML
lm_word2vec,-0.017562341838122,ALL,D1,AutoML
lm_sent_glove,-0.034166707072917,ALL,D1,AutoML
lm_fasttext,0.0722651632419189,ALL,D7,AutoML
clustering_KiralyMSMApproximateClustering,0.0299158759589824,ALL,D7,AutoML
lm_sminilm,0.0113468279042783,ALL,D7,AutoML
clustering_UniqueMappingClustering,0.0069819570757238,ALL,D7,AutoML
lm_st5,0.0065112158636023,ALL,D7,AutoML
threshold,0.0051605953847615,ALL,D7,AutoML
lm_sdistilroberta,0.0042736346967299,ALL,D7,AutoML
k,0.0005144055791299,ALL,D7,AutoML
AverageValueLength,0.0,ALL,D7,AutoML
MaxValuesPerEntity,0.0,ALL,D7,AutoML
AverageValueTokens,0.0,ALL,D7,AutoML
NumberOfMissingNVpairs,0.0,ALL,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D7,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D7,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D7,AutoML
AverageNVPairsPerEntity,0.0,ALL,D7,AutoML
NumberOfNameValuePairs,0.0,ALL,D7,AutoML
NumberOfDistinctValues,0.0,ALL,D7,AutoML
NumberOfAttributes,0.0,ALL,D7,AutoML
InputEntityProfiles,0.0,ALL,D7,AutoML
lm_smpnet,-0.0057558256634271,ALL,D7,AutoML
lm_word2vec,-0.0174959240885949,ALL,D7,AutoML
lm_sent_glove,-0.0256764745514111,ALL,D7,AutoML
clustering_ConnectedComponentsClustering,-0.0694396313651673,ALL,D7,AutoML
clustering_KiralyMSMApproximateClustering,0.1769541735199253,ALL,D5,AutoML
clustering_ConnectedComponentsClustering,0.1247352935094471,ALL,D5,AutoML
lm_fasttext,0.0324913519439927,ALL,D5,AutoML
clustering_UniqueMappingClustering,0.0179996750966936,ALL,D5,AutoML
lm_sdistilroberta,0.0090687791811269,ALL,D5,AutoML
threshold,0.0051922435369665,ALL,D5,AutoML
lm_sminilm,0.003388755226659,ALL,D5,AutoML
lm_sent_glove,0.0015463381081753,ALL,D5,AutoML
k,0.0001581477543318,ALL,D5,AutoML
